data point ID	label	original text
1	9	First of all , through cooperation , children can learn about interpersonal skills which are significant in the future life of all students . What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others . During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred . All of these skills help them to get on well with other people and will benefit them for the whole life .
2	9	On the other hand , the significance of competition is that how to become more excellence to gain the victory . Hence it is always said that competition makes the society more effective . However , when we consider about the question that how to win the game , we always find that we need the cooperation . The greater our goal is , the more competition we need . Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care . The winner is the athlete but the success belongs to the whole team . Therefore without the cooperation , there would be no victory of competition .
3	5	Firstly , maintaining one 課ｪ s cultural identity is a key important rule to help individuals emerge in the new multicultural environments . Take Australia for example , immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues . Many Australians come this day to enjoy the shows , learn about the cultures and admire the diverse values . These feedbacks , in turn , help raise one 課ｪ s pride of their cultures and help people understand each other more . Thus this makes it clear that sustaining the cultural values of immigrants is paramount essential .
4	4	Secondly , it is crucial to keep one 課ｪ s identity for they need a connection back to their country as well as teach their children their value of origin . For instance , children immigrated to a new country will face social troubles in school with new friends . In this new environment , parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home . Fail to create this familiarity makes them felt isolated , in the extreme can lead to social disorder like autism . Hence , it is clear that keeping the cultural traditions in the destination countries is tremendous important .
5	5	Firstly , international tourism promotes many aspects of the destination country 課ｪ s economy in order to serve various demands of tourists . Take Cambodia for example , a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants , hotels , souvenir shops and other stores . These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard . Therefore tourism has clearly improved lives in the tourist country .
6	5	Secondly , through tourism industry , many cultural values have been preserved and natural environments have been protected . For instance , in Vietnam , many cultural costumes and natural scenes , namely 課� Trong Dong 課ｪ drum performance and 課� Ha Long 課ｪ bay , are being encouraged to preserve and funded by the tourism ministry . Without this support and profit from tourism , many traditional cultures would disappear due to its low income works . Thus , tourism has survived many non-tangible cultural values and beauty scenes .
7	5	Firstly , it is an undeniable fact that tourists from different cultures will probably cause changes to the cultural identity of the tourist destinations . Take Thailand for example , in the Vietnam War , many American soldiers came to Thailand for a break and involved in sexual and drug activities , these huge demands caused many local businesses opened and expanded , even illegally involved in under-age prostitutes to maximize their profits . This was due to the lack of adequate controls by authorities and lead to a bad image of Thailand tourism . Therefore this proves that international tourism can create negative impacts on the destination countries .
8	5	Secondly , there are clear evidences that tourism increasingly create harms to the natural habitats of the destination appeals . As the Australia ' s Great Barrier Reef has shown , the billion visitors per annum has generated immense destruction to this nature wonder , namely breaking the corals caused by walking or throwing boat 課ｪ s anchors , dropping fuel and other sorts of pollutions . For this reason , many marine lives have been endangered , in the extremes part of the reef become uninhabitable for these marine species . Thus , it is apparent that tourism has threatened the nature environments .
9	9	First , studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures . Compared to the peers studying in the home country , it will be more likely for the one who is living overseas to be successful in adapting himself / herself into new environments and situations in life .
10	2	Second , living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet . One who is living overseas will of course struggle with loneliness , living away from family and friends but those difficulties will turn into valuable experiences in the following steps of life . Moreover , the one will learn living without depending on anyone else .
11	7	Also , employers are mostly looking for people who have international and language skills . Becoming successful in this study will give the student an edge in job market . Therefore , one who has studied and lived overseas will become more eligible for the job than his / her peers .
12	9	First of all , students who study outside their countries can get a lot of experience living in a foreign country . Living in a new country requires a great amount of flexibility and adaptability in one ' s character . For example , students might face many challenges in the host country . Therefore , they should be able to deal with the obstacles that they may encounter . Overcoming problems teaches the students how to be more mature and self-independence .
13	9	One other important factor is the new academic experience that the students can obtain at the institution where they are pursuing their studies . For example , they will get exposed to a different educational system . They will meet new professors and new classmates which makes the academic experience different from that in their home country .
14	9	Most important is the cultural aspect of the experience . While living in a foreign country , students can learn a lot about the culture of that country . Furthermore , they can meet different people of the country . They can learn about their way of thinking , their customs and traditions , and way of life . Learning about others ' cultures is so important . It contributes in building a new understanding in us of how we see the world . It makes us more open , and willing to accept different ideas and thoughts . Also it educates us about the world we are living in .
15	6	First of all , to obtain information , using the internet is quicker and more convenient than reading newspapers . Contrary to the past when people had to wait long hours to take a daily newspaper , nowadays , they can acquire latest news updated every second through their mobile phones or computers connected to the internet , everywhere and at anytime . As can be seen , these devices and machines are very common in all parts of the world , making it easier for people to read a number of things that newspapers can not provide in only some pages . Hence , the print media has failed to keep its important role in the provision of information .
16	9	Another point is that , from the economic aspect , buying newspapers appears to be a waste of money when the internet becomes available for every one . It is clear to recognize that the internet service is being provided at a low cost or even free in many countries . The question arises as to whether or not a person spends an extra money buying newspapers to receive the same , even usually less information than those he can have with the internet ? The answer , perhaps , is that hardly would rational people do so . For this reason , the number of people reading newspapers may continue falling sharply , possibly leading to the close-downs of many in the coming time .
17	2	Last , but not least , when taking environment into consideration , people must conceive that the more newspapers are published , the more trees are cut down . This is simply the contributor to the deforestation which is happening all over the world today . At this point , newspapers ' production will have to face environmentalists on its way to be alive .
18	9	Concerning that elementary education , like the base of a architecture , is the fundamental requirement to be a qualified citizen in today ' s society , government should guarantee that all people have equal and convenient access to it . So a lack of well-established primary education goes hand in hand with a high rate of illiteracy , and this interplay seriously compromises a country ' s future development . In other words , if countries , especially the developing countries , are determined to take off , one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education .
19	6	That ' s not enough , for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance . The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community . Some may argue that universities can support themselve well by donation or invention , but this argument is invalid . Researches into humanities and art still need large amount of money , what ' s more , government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide .
20	9	Consideration is always important in relationship . For example , roommate turns down the music or television volume at night time . Sometimes we will not know what we have done until we have a taste of our own medicine . At all times , think about the other ' s feeling before doing any self-centered action would help to improve the roommate relationship tremendously . Therefore , having a considered roommate is significantly imperative to our school life . It will not only prevent conflicts but also to have a friend or even a family member .
21		Moreover , communication is as well making a good roommate . People have different habit in daily life , such as tidy the blanket in the morning . One might think this is a piece of cake while other would consider it as immense project . If one requested to move out just because his roommate do not tidy up the blanket in the morning might be crying over split milk . Therefore , communication is very important as it would clear up the misinterpretation . Through communication , bonded are build and we could have better understanding of each others .
22	9	First and foremost , carbon emission cut is significantly essential for protecting the atmosphere . The fact is that the more cars and motorbikes are on roads , the more seriously the ozone layer is damaged . If governments use more money to improve roads , there is a strong likelihood that more people drive their private cars work . This is sure to lead to more carbon emitted into the atmosphere , which can cause skin cancer and destroy the natural environment . Whereas , if there are more good buses , trains , or subways , people are inclined to use less private vehicles , which decreases the amount of carbon released . Obviously , the policy that concentrates money on developing public transportation brings an advantageous impact on earth .
23	9	In addition , the policy would play a pivotal part in relieving traffic jam . It is quiet clear that traffic congestion is a serious problem in many big cities . The main reason for this issue is that there are a great number of vehicles flowing on roads . In order to tackle the problem , governments have to turn people ' attention on public vehicles to reduce cars and motorbikes . There is the possibility that improving roads and highways does not seem to reach the major cause of traffic congestion .
24	3	First of all , the ancient Latin proverb says : " Anima sana in corpore sano " , which means that healthy body is basis for healthy soul . There is a direct linkage between people ' s health and the frequency of doing physical exercises . The more we practice , the better we feel . Additionally , there is a fact that one can improve health conditions with everyday physical activity : gradually , step by step we change physical condition to better . So , if the entire nation , from their school ages begin going for sports and try doing that everyday , eventually it may help to build healthy nation . 
25	4	Besides , when we practice outdoors and indoors sports , many aspects are getting clearer . For example , when a person goes jogging everyday , eventually he can understand his own body through direct observation . Alike , the school basketball team gains more knowledge on how to succeed in some particular kind of throwing the ball into hoot practicing rather than learning theoretically . Furthermore , almost all natural science discoveries were made by direct observation , which is a part of physical education .
26	4	Last , but not least , financial sustainability of a region mostly depends on how healthy the population is . For instance , the money invested into physical education program can save allocations into healthcare , since the nation is comparatively healthy . Along with that , physically healthy people can contribute more both into economical and social development . As a matter of fact , the better a person feels , the better his brain works . Therefore , putting physical activities in early steps of human development would finally lead to mentally healthy society . As hence it ends up with financially competitive country .
27	5	First and foremost , email can be count as one of the most beneficial results of modern technology . Many years ago , peoples had to pay a great deal of money to post their letters , and their payements were related to the weight of their letters or boxes , and many accidents may cause problem that the post could not be delivered . But nowadays , all people can take advantage of internet to have their own email free , and send their emails to everyone in no time , besides they can be sure if their emails have been delivered or not .
28	9	Another important aspect on technology is transferring money . Today , students can apply for foreign universities much easier than before . Not only with the help of sending email , but also using credit cards to pay all necessary fees online . Therefore , with the advent of internet and online paying systems , you can do many thing at your home easily .
29	9	Another technological innovations which help people around the world is related to medical equipments . Biomedical engineers could make a significant effect on increasing life expectancy the world . For example , one of their inventions was related to artificial heart valves which can be count as a turning point in heart surgeries . In the past time doctors used pig heart ' s valve to implant , but the patient could not be alive more than 3 years after the replacement . But now , biomedical engineers can make artificial heart valves which works well and doctors can implant them easily .
30	5	First , technology inspires children to create new things . Children are curious about everything around them , so when they come across a high-tech product like a cellphone , they will be obsessed with its mysterious functions and eager to know how it works . For example , Bill Gates was attracted by the original huge computer , then he did everything he could to understand how it worked . After he had figured out all the stuff , he then began to promote the computer . In the end , he successfully invented a computer that was easy to use and lightweight . Therefore , instead of interfering children ' s creativity , technology actually encourages children to learn and to create .
31	9	Second , technology widen children ' s knowledge . In the past , children were only able to see things from one perspective . However , with highly advanced technology , children are able to get information from foreign countries and even communicate with foreign friends . Therefore , they will be able to learn about different cultures and different ways of thinking . Knowledge is the base of creativity . The diverse knowledge that children gained from different parts of the world , inspires children and encourage them to create new things .
32	9	Many people find that students at schools and universities still learn much more from lessons with teachers . They argue that teachers teach students how to write , read and calculate since they are in kindergarten . And when they are in primary school , teachers teach them more further knowledge , like writing skills and using computers . It is teachers that help them with obstacles in schooling . On the other hand , students gain most of the knowledge through teachers and learn what is right and wrong with the assistance of teachers .
33	5	Those who feel that students learn far more from other sources , such as the Internet and television , firmly believe that within this sources students learn lots of things which they can ' t learn in classes . They can only input some key words and google it , and then there are numberless articles and websites related to it . In this case , students learn things easily . Moreover , they contend that good television programs do teach students . For instance , Discovery Channel has many instructive episodes . Students have knowledge of others cultures , outer space etc .
34	3	First of all , it is easy to point out many benefits users can get from email and text messaging , which answers to the question of their great popularity . Before email and mobile phone , human beings communicated by meeting directly , sending letters or later , calling from home phones . Such ways usually made people have troubles for the expensiveness , difficulties in far communication or emergency and the loss of information . However , email and cell phones have improved the obstacles above . People can send or receive electronic letters anywhere and anytime they want . Especially , thanks to the function provided by email and text messaging ( SMS ) , it is cheaper and faster to transfer a lot of information , even to many people at the same time . They are so convenient that the majority of population prefer to use them instead of some traditional ways .
35	4	The popularity of email and text messaging , as a result , leads to the losing of written language ' s position . People tend to use slangs and abbreviated words to shorten their writing and save more time in communicating for other activities . The outcome is that language in writing is not in its original form . Even in some cases , people compose a message with only emoticons ( the expressions by face created by service providers ) , which means there is no room for writing or typing texts . Moreover , it is more dangerous that youngsters sometimes use such new languages in their studying , writing assignments . If that tendency continues at a rapid pace , written language may face up to a real problem about its stand .
36	4	First of all , as we all know , animals are friendly and vital for people , because if there are no animals in the world , the balance of nature will broke down , and we , human , will die out as well . The animal experiments accelerate the vanishing of some categories of animals . In other words , doing this various testing is a hazard of human ' s future and next generation .
37	9	Though animal experiments have negative impact on the natural balance , it is necessary to make sure that people can live a long life . To begin with , it is indisputable that every new kind food or pill may be noxious , and scientists must do something to insure that the new invention benefits people instead of making people ill or even dying . The new foods or medicines are invented to promote the quantity of human ' s life . Thus even if they are volunteers ; they cannot take the place of animals to test the new foods or medicines . Furthermore , it also have potentially harm for human ' s health without any testing . 
38	6	In spite of enjoying watching television shows , it is really time consuming task . Emergence of new television channels or shows are not surprising . We kill time by tracking these channels so at the end of the day we understand it is late for doing any other activities . This is a problem that suffers all of us everyday . At the end , there is no time for call to our parents or friends .
39	5	Second , I think watching television programs makes us lazy . We usually spend our times in front of television for at least three ours a day when we come back home after eight-hour working in the office . Hence , we do not have time to spend for healthy activity such as going to a gym or doing other sports . This makes us a lazy person who prefers to do sedentary activities like watching television shows rather than be active and sociable .
40	5	Last but not least , some television programs have a negative effect on viewers . Some thriller or action movies advertise negative activities such as doing criminal activity . These genre of programs has more negative effects on our teenagers . They usually try to mimic what they see on movies in their daily behaviors .
41	6	Universities should accept equal numbers of students of both genders . Initially , if we look into the fact , women have proved themselves in every field whether it is indoor or outdoor . For example , nowadays women are working in home as well as in the sky . They are acting as a good housewife and they are flying planes also . Furthermore , university authority must not be biased on ground of the gender discrimination . They must consider the academic record of the student as main criteria of admission .
42	6	However , the current job market affects the decision of universities . Every university designs its courses according to the need of employers . The job selection criteria are pre decided . For instance employers need male candidates for the heavy work such as repairing and installation of heavy machine . They prefer male staff for night shifts . They want female candidates for soft natured work like counseling , teaching , designing etc . Therefore , universities follow the requirement of job providers and decide subject suitable for particular gender .
43	6	Living in their own houses will save the young adults a lot of money . If they live separate from their parents they will have to pay for a loan , electricity , water or even for a meal . If the young adults still study they will have to combine studying with working , because they will not have money to pay for everything . There will not be such worries when young adults live in their own home , because parents will take care for them . Moreover , parents will give their children money in order they to focus only on studying .
44	2	Another problem that the young adults may encounter is to find a co-tenant , who they do not like . His habits may be totally different from theirs , his behavior may be inappropriate , but they will have to live with him or even share a room , in order to have less expenses . Living with such a person may be a huge problem for the young adults . When the co-tenant do not share their interests and points of view , they will not be able to ask him for advice . Furthermore , they are most likely to quarrel every day , instead of to help each other .
45	5	First , in most industrialized countries , there is a number of companies that holds heavy factories in their constitutions . The waste products and harmful gases produced by these factories cause a significant amount of air pollution . While these companies make a huge amount of money from their businesses , most of them are not considering to take precautions to reduce the amount of air pollution . If these companies were obliged to pay to clean up the air pollution , they would at least make an effort to reduce the amount of air pollution they cause .
46	9	Second , private individuals cause air pollution in several ways such as inessential use of cars and house heating . As house heating is a major need in the winter time , some households do not consider to use filters to reduce the amount of pollution that the heating causes . Instead of this , some expensive vehicles cause a huge amount of pollution . In my opinion , by charging private individuals for causing air pollution , that will at least contribute to reduce the amount of the pollution .
47	9	On the other hand , I believe that governments should restrict the use of products that cause air pollution for both individuals and companies . Governments also should use an amount of money from their budgets to clean up the air , instead of putting all the responsibility to companies and private individuals .
48	5	We are mainly introduced to products through advertisements . Therefore , advertisers push the limits of creativity to dispose the consumers to purchase the product . When the consumers are impressed by the way a product is advertised , they can be convinced to consider that the product is a need in some cases . Recently , there is a very creative advertisements of a soft drink product on TV . The story delivers a desired call to drink that soft drink that people tend to drink when the weather is too hot . As a result of this , the number of that product being sold will increases .
49	9	Also , the more an advertisement of a product takes place in mass media , the more popular the product becomes . Advertisement is the most effective way to create a well-known product . Consumers tend to purchase the most known product when it comes to picking one out of two different brands of the same product . When a product is commonly used , it becomes trustworthy for the society , no matter what quality it is . However , it also has to be affordable for the consumer . Considering this fact , advertisements have undeniable affects on the society about the product being advertised . They make the product preferable .
50	9	To begin with , those who advocate the impracticability of university have several reasons . From their point of view , the fact is that there are numerous job opportunities for those who do not have the certification of university graduation , such as mechanics , sales persons , or engineers , and , furthermore , labors for graduates are in short supply . What is worse , the labor market for highly educated students is now too competitive to get a job after finishing their studying . In this regard it is a loss of national productivity that young people spend much time on searching for high salary jobs , even can be a sheer time-consuming .